timestamp,price,rsi,5EMA,13EMA
1609626900000,32183.39000000,67.1170565290226,32220.070411929075,32144.50425431711
1609626960000,32211.22000000,68.27953525721003,32217.120274619385,32154.03507512895
1609627020000,32267.10000000,70.53216798075405,32233.78018307959,32170.187207253388
1609627080000,32207.12000000,65.18147788917132,32224.893455386395,32175.463320502902
1609627140000,32240.19000000,66.68223642921541,32229.99230359093,32184.709989002487
1609627200000,32168.30000000,60.5702954189826,32209.428202393952,32182.365704859276
1609627260000,32106.49000000,55.83194980233517,32175.115468262637,32171.526318450808
1609627320000,32169.00000000,59.29964325065513,32173.076978841756,32171.16541581498
1609627380000,32243.61000000,63.030497639384805,32196.587985894505,32181.514642127124
1609627440000,32148.10000000,55.95892604257141,32180.42532392967,32176.74112182325
1609627500000,32217.11000000,59.495002765176274,32192.653549286446,32182.50810441993
1609627560000,32216.86000000,59.4763724194029,32200.722366190963,32187.415518074224
1609627620000,32261.40000000,61.773074599877646,32220.94824412731,32197.984729777905
1609627680000,32244.98000000,60.41369915952857,32228.958829418207,32204.698339809634
1609627740000,32256.71000000,61.07272694541979,32238.209219612138,32212.128576979685
1609627800000,32204.17000000,56.53292408767088,32226.862813074757,32210.99163741116
1609627860000,32168.15000000,53.591716532259625,32207.291875383173,32204.87140349528
1609627920000,32178.01000000,54.2927316443773,32197.531250255448,32201.03406013881
1609627980000,32140.81000000,51.15326452825767,32178.624166836966,32192.43062297612
1609628040000,32181.21000000,54.247492147338605,32179.486111224644,32190.827676836674
1609628100000,32165.36000000,52.83346295255954,32174.777407483096,32187.189437288576
1609628160000,32235.00000000,58.012116667316334,32194.85160498873,32194.019517675923
1609628220000,32225.16000000,57.05882299957099,32204.95440332582,32198.468158007934
1609628280000,32173.58000000,52.21514353595148,32194.496268883882,32194.912706863943
1609628340000,32145.66000000,49.75312288337576,32178.217512589254,32187.87660588338
1609628400000,32140.09000000,49.25416641912358,32165.50834172617,32181.04994790004
1609628460000,32109.70000000,46.51334899594461,32146.90556115078,32170.857098200035
1609628520000,31919.96000000,33.848724435576116,32071.257040767185,32135.01465560003
1609628580000,31758.83000000,27.100441662105023,31967.11469384479,32081.27399051431
1609628640000,31861.42000000,35.86729656633948,31931.88312922986,32049.866277583693
1609628700000,31967.83000000,43.46216403682045,31943.865419486574,32038.14680935745
1609628760000,31956.11000000,42.860125976963026,31947.946946324384,32026.42726516353
1609628820000,31964.13000000,43.43752026314887,31953.34129754959,32017.527655854454
1609628880000,31991.43000000,45.4579225040209,31966.037531699727,32013.799419303818
1609628940000,31895.96000000,40.067852279576435,31942.678354466483,31996.96521654613
1609629000000,31772.25000000,34.379269844193075,31885.868902977654,31964.863042753826
1609629060000,31865.64000000,41.16958814587456,31879.125935318436,31950.688322360424
1609629120000,31756.54000000,36.42732727849658,31838.263956878956,31922.952847737506
1609629180000,31802.65000000,39.594283175457775,31826.392637919304,31905.766726632148
1609629240000,31866.75000000,43.786643959938395,31839.8450919462,31900.19290854184
1609629300000,31888.21000000,45.15892461554282,31855.966727964133,31898.481064464435
1609629360000,31943.96000000,48.66496660804687,31885.297818642754,31904.97805525523
1609629420000,31952.22000000,49.18333341400334,31907.6052124285,31911.72690450448
1609629480000,32024.05000000,53.57367345646391,31946.420141619,31927.77306100384
1609629540000,31980.19000000,50.693669033084035,31957.676761079332,31935.26119514615
1609629600000,31844.53000000,42.99482107070652,31919.96117405289,31922.29959583956
1609629660000,31845.10000000,43.03396782097155,31895.007449368593,31911.271082148192
1609629720000,31909.21000000,47.40850882461713,31899.741632912395,31910.97664184131
1609629780000,31928.28000000,48.6711718682875,31909.254421941598,31913.448550149693
1609629840000,31980.24000000,52.04925604185293,31932.916281294398,31922.990185842595
1609629900000,31912.69000000,47.65802717567432,31926.1741875296,31921.518730722222
1609629960000,31973.11000000,51.591978064901525,31941.819458353068,31928.88891204762
1609630020000,32003.49000000,53.485033328420194,31962.376305568712,31939.54621032653
1609630080000,31983.54000000,52.04567019486361,31969.430870379143,31945.83103742274
1609630140000,31965.93000000,50.74743511412861,31968.263913586095,31948.70231779092
1609630200000,31978.06000000,51.64222521664197,31971.529275724064,31952.89627239222
1609630260000,31933.56000000,48.183808383659056,31958.87285048271,31950.13394776476
1609630320000,31903.36000000,45.935516916420546,31940.368566988473,31943.451955226938
1609630380000,31841.61000000,41.655562041513434,31907.44904465898,31928.903104480232
1609630440000,31791.34000000,38.509849657794874,31868.746029772654,31909.25123241163
1609630500000,31845.18000000,43.43661893159421,31860.890686515104,31900.098199209966
1609630560000,31790.68000000,39.947450968847534,31837.487124343403,31884.467027894258
1609630620000,31866.51000000,46.399052909646876,31847.161416228933,31881.901738195076
1609630680000,31853.37000000,45.48711863767469,31849.230944152623,31877.82577559578
1609630740000,31862.93000000,46.313849024142876,31853.797296101748,31875.697807653523
1609630800000,31824.59000000,43.46676071227916,31844.0615307345,31868.396692274448
1609630860000,31855.05000000,46.29160622056865,31847.724353823,31866.490021949525
1609630920000,31937.22000000,53.099823107353075,31877.556235882,31876.594304528164
1609630980000,31932.84000000,52.7162209907183,31895.984157254665,31884.629403881285
1609631040000,31913.03000000,50.92434312570251,31901.666104836444,31888.686631898243
1609631100000,31936.78000000,52.98754119368394,31913.37073655763,31895.55711305564
1609631160000,31966.21000000,55.48496829194002,31930.983824371753,31905.65038261912
1609631220000,31963.28000000,55.17073610070163,31941.749216247834,31913.883185102102
1609631280000,32029.06000000,60.569764750549936,31970.85281083189,31930.3370158018
1609631340000,31994.17000000,56.671170896977806,31978.62520722126,31939.4560135444
